Time,LastPrice,Volume,Bid1Price,Bid1Volume,Ask1Price,Ask1Volume,FutureAvgPrice,Traded
2023-05-08 13:51:32,6147.8,5659,6148.8,1,6150.4,2,6148.4400000000005,1
2023-05-08 13:51:33,6147.8,5659,6148.8,2,6150.4,2,6148.719999999999,1
2023-05-08 13:51:33,6147.8,5659,6148.8,3,6150.4,2,6149.000000000001,1
2023-05-08 13:51:34,6147.8,5659,6148.8,3,6150.4,2,6149.280000000001,1
2023-05-08 13:51:34,6147.8,5659,6148.8,3,6150.4,2,6149.56,1
2023-05-08 13:51:35,6147.8,5659,6149.2,1,6150.4,2,6149.84,1
2023-05-08 13:51:35,6147.8,5659,6149.2,1,6150.4,2,6150.120000000001,1
2023-05-08 13:51:36,6147.8,5659,6149.4,1,6150.4,2,6150.400000000001,1
2023-05-08 13:51:37,6149.6,5662,6149.4,1,6150.8,1,6150.5,1
2023-05-08 13:51:37,6149.6,5662,6150.6,1,6150.8,1,6150.6,1
2023-05-08 13:51:38,6150.6,5663,6149.4,1,6150.6,3,6150.6,0
2023-05-08 13:51:38,6150.6,5663,6149.6,1,6150.6,2,6150.6,0
2023-05-08 13:51:39,6150.6,5663,6149.4,1,6150.6,2,6150.6,0
2023-05-08 13:51:40,6150.6,5663,6149.4,1,6150.6,1,6150.6,0
2023-05-08 13:51:40,6150.6,5663,6149.4,1,6150.6,1,6150.6,0
2023-05-08 13:51:41,6150.6,5663,6149.4,1,6150.6,1,6150.460000000001,0
2023-05-08 13:51:43,6150.6,5663,6149.4,1,6150.6,1,6150.32,0
2023-05-08 13:51:43,6150.6,5663,6149.4,1,6151.0,1,6150.18,0
2023-05-08 13:51:44,6150.6,5663,6149.8,1,6151.0,1,6150.04,0
2023-05-08 13:51:45,6150.6,5663,6149.8,1,6150.8,1,6149.9,0
2023-05-08 13:51:46,6150.6,5663,6149.4,1,6150.8,1,6149.76,0
2023-05-08 13:51:49,6150.6,5663,6149.4,2,6150.8,1,6149.62,0
2023-05-08 13:51:51,6150.6,5663,6149.4,2,6150.8,1,6149.4800000000005,0
2023-05-08 13:51:52,6150.6,5663,6149.2,2,6150.8,1,6149.22,0
2023-05-08 13:51:57,6150.6,5663,6149.2,2,6150.4,1,6148.96,0
2023-05-08 13:51:57,6149.2,5664,6149.2,1,6150.2,1,6148.84,0
2023-05-08 13:51:58,6149.2,5665,6148.0,1,6150.0,1,6148.72,0
2023-05-08 13:51:58,6149.2,5665,6148.2,1,6150.0,1,6148.6,0
2023-05-08 13:51:59,6149.2,5665,6148.0,2,6149.8,3,6148.4800000000005,0
2023-05-08 13:52:00,6149.2,5665,6148.0,3,6149.6,2,6148.360000000001,0
2023-05-08 13:52:00,6149.2,5665,6148.0,2,6149.4,1,6148.24,0
2023-05-08 13:52:01,6149.2,5665,6147.2,1,6149.4,1,6148.120000000001,0
2023-05-08 13:52:01,6149.2,5665,6147.6,2,6148.0,1,6148.0,0
2023-05-08 13:52:02,6148.0,5666,6148.0,1,6149.2,1,6148.0,0
2023-05-08 13:52:02,6148.0,5666,6147.6,2,6149.2,1,6148.0,0
2023-05-08 13:52:03,6148.0,5666,6147.6,2,6149.6,2,6148.0,0
2023-05-08 13:52:03,6148.0,5666,6147.6,2,6149.4,1,6148.0,0
2023-05-08 13:52:04,6148.0,5666,6147.6,2,6149.4,1,6148.0,0
2023-05-08 13:52:07,6148.0,5666,6147.6,2,6149.4,2,6148.0,0
2023-05-08 13:52:11,6148.0,5666,6147.8,2,6149.4,2,6148.0,0
2023-05-08 13:52:12,6148.0,5666,6147.8,2,6149.4,1,6148.0,0
2023-05-08 13:52:12,6148.0,5666,6147.8,2,6149.4,1,6148.0,0
2023-05-08 13:52:14,6148.0,5666,6148.0,2,6149.4,1,6148.0,0
2023-05-08 13:52:15,6148.0,5666,6148.0,2,6149.4,1,6148.139999999999,1
2023-05-08 13:52:16,6148.0,5666,6148.2,1,6149.4,2,6148.28,1
2023-05-08 13:52:16,6148.0,5666,6148.2,1,6149.4,2,6148.42,1
2023-05-08 13:52:17,6148.0,5666,6148.0,1,6149.4,4,6148.56,1
2023-05-08 13:52:18,6148.0,5666,6147.6,1,6149.4,4,6148.699999999999,1
2023-05-08 13:52:18,6148.0,5666,6147.6,2,6149.4,4,6148.839999999999,1
2023-05-08 13:52:19,6148.0,5666,6147.6,2,6149.4,3,6148.98,1
2023-05-08 13:52:20,6148.0,5666,6147.8,1,6149.4,4,6149.12,1
2023-05-08 13:52:21,6148.0,5666,6148.2,1,6149.4,4,6149.259999999999,1
2023-05-08 13:52:22,6148.0,5666,6148.2,1,6149.4,4,6149.4,1
2023-05-08 13:52:22,6149.4,5670,6148.2,1,6150.0,1,6149.4,0
2023-05-08 13:52:23,6149.4,5670,6148.6,1,6150.8,1,6149.32,0
2023-05-08 13:52:23,6149.4,5670,6148.8,1,6150.6,2,6149.24,0
2023-05-08 13:52:24,6149.4,5670,6148.8,1,6150.4,1,6149.16,0
2023-05-08 13:52:24,6149.4,5670,6148.6,1,6150.4,1,6149.08,0
2023-05-08 13:52:25,6149.4,5670,6148.6,1,6150.4,1,6149.0,0
2023-05-08 13:52:25,6149.4,5670,6148.6,1,6150.4,1,6148.92,0
2023-05-08 13:52:26,6149.4,5670,6148.6,1,6150.4,1,6148.84,0
2023-05-08 13:52:32,6149.4,5670,6148.6,1,6150.2,2,6148.76,0
2023-05-08 13:52:32,6149.4,5670,6148.6,1,6149.8,1,6148.68,0
2023-05-08 13:52:33,6149.4,5670,6148.6,1,6149.6,1,6148.6,0
2023-05-08 13:52:33,6148.6,5671,6148.4,2,6149.6,1,6148.500000000001,0
2023-05-08 13:52:34,6148.6,5671,6147.2,1,6149.6,1,6148.400000000001,0
2023-05-08 13:52:34,6148.6,5671,6147.6,3,6149.4,1,6148.3,0
2023-05-08 13:52:35,6148.6,5671,6148.0,1,6149.8,1,6148.2,0
2023-05-08 13:52:35,6148.6,5671,6148.0,1,6149.8,1,6148.1,0
2023-05-08 13:52:36,6148.6,5671,6147.6,2,6149.8,1,6148.000000000001,0
2023-05-08 13:52:36,6148.6,5671,6147.8,1,6149.4,1,6147.9,0
2023-05-08 13:52:37,6148.6,5671,6147.6,2,6149.2,1,6147.8,0
2023-05-08 13:52:37,6148.6,5671,6147.6,2,6149.2,1,6147.700000000001,0
2023-05-08 13:52:40,6148.6,5671,6147.6,2,6149.2,1,6147.6,0
2023-05-08 13:52:40,6147.6,5672,6147.6,1,6149.2,1,6147.6,0
2023-05-08 13:52:41,6147.6,5672,6147.6,1,6149.0,1,6147.6,0
2023-05-08 13:52:41,6147.6,5673,6147.4,2,6149.0,1,6147.6,0
2023-05-08 13:52:42,6147.6,5673,6147.4,3,6149.0,1,6147.6,0
2023-05-08 13:52:43,6147.6,5673,6147.6,4,6149.0,1,6147.6,0
2023-05-08 13:52:43,6147.6,5673,6147.6,4,6149.0,1,6147.6,0
2023-05-08 13:52:44,6147.6,5673,6147.8,1,6149.0,1,6147.6,0
2023-05-08 13:52:45,6147.6,5673,6147.8,1,6149.0,1,6147.6,0
2023-05-08 13:52:46,6147.6,5673,6147.8,1,6149.0,1,6147.6,0
2023-05-08 13:52:47,6147.6,5673,6147.6,1,6149.0,1,6147.6,0
2023-05-08 13:52:47,6147.6,5673,6147.6,1,6149.0,1,6147.6,0
2023-05-08 13:52:48,6147.6,5673,6147.6,1,6149.0,1,6147.740000000001,1
2023-05-08 13:52:53,6147.6,5673,6147.6,1,6149.0,1,6147.9400000000005,1
2023-05-08 13:52:54,6147.6,5673,6147.4,3,6148.8,1,6148.14,1
2023-05-08 13:52:55,6147.6,5673,6147.4,3,6149.0,1,6148.34,1
2023-05-08 13:52:56,6147.6,5673,6147.4,4,6149.0,1,6148.540000000001,1
2023-05-08 13:53:00,6147.6,5673,6147.6,2,6149.0,1,6148.74,1
2023-05-08 13:53:04,6147.6,5673,6148.0,1,6149.0,1,6148.9400000000005,1
2023-05-08 13:53:04,6147.6,5673,6147.6,2,6149.0,1,6149.14,1
2023-05-08 13:53:05,6147.6,5673,6147.6,3,6149.0,1,6149.340000000001,1
2023-05-08 13:53:06,6147.6,5673,6147.6,4,6149.0,1,6149.54,1
2023-05-08 13:53:09,6149.0,5674,6147.8,2,6149.6,1,6149.6,1
2023-05-08 13:53:10,6149.6,5675,6148.0,2,6150.2,1,6149.6,0
2023-05-08 13:53:10,6149.6,5675,6148.2,3,6150.6,1,6149.6,0
2023-05-08 13:53:11,6149.6,5675,6148.2,3,6150.4,1,6149.6,0
2023-05-08 13:53:11,6149.6,5675,6148.2,3,6150.2,1,6149.6,0
2023-05-08 13:53:12,6149.6,5675,6148.2,3,6149.8,1,6149.6,0
2023-05-08 13:53:13,6149.6,5675,6148.2,1,6149.6,1,6149.6,0
2023-05-08 13:53:13,6149.6,5675,6148.2,1,6149.6,1,6149.6,0
2023-05-08 13:53:14,6149.6,5675,6148.2,1,6150.0,1,6149.6,0
2023-05-08 13:53:14,6149.6,5675,6148.2,1,6149.8,2,6149.6,0
2023-05-08 13:53:15,6149.6,5675,6148.2,1,6149.8,2,6149.6,0
2023-05-08 13:53:15,6149.6,5675,6148.2,1,6149.8,1,6149.6,0
